Ex_Dividend_Date,Payable_Date,Dividend_Amount_EUR,Change_Percentage,Adjusted_Price_EUR,Close_Price_EUR,Year
2025-05-15,2025-05-29,0.4345,167.54,55.7,55.7,2025
2025-02-13,2025-02-26,0.1624,31.18,55.49,55.49,2025
2024-11-14,2024-11-27,0.1238,-80.51,48.81,48.81,2024
2024-08-16,2024-08-29,0.6352,7.83,50.27,50.27,2024
2024-05-16,2024-05-30,0.5891,298.34,52.39,52.39,2024
2024-02-15,2024-02-28,0.1479,54.03,48.01,48.01,2024
2023-11-16,2023-11-29,0.096,-85.17,44.51,44.51,2023
2023-08-17,2023-08-31,0.6474,49.45,43.6,43.6,2023
2023-05-19,2023-05-30,0.4332,104.15,43.3,43.3,2023
2023-02-16,2023-02-28,0.2122,145.76,43.0,43.0,2023
2022-11-17,2022-11-30,0.0863,-86.73,40.22,40.22,2022
2022-08-11,2022-08-24,0.6509,123.22,35.71,35.71,2022
2022-05-12,2022-05-25,0.2916,185.38,39.01,39.01,2022
2022-02-11,2022-02-24,0.1022,-26.53,39.81,39.81,2022
2021-11-11,2021-11-24,0.1391,-66.49,41.28,41.28,2021
2021-08-12,2021-08-25,0.415,57.2,42.47,42.47,2021
2021-05-13,2021-05-26,0.264,233.33,41.26,41.26,2021
2021-02-11,2021-02-24,0.0792,-3.3,36.83,36.83,2021
2020-11-12,2020-11-25,0.0819,-80.9,35.35,35.35,2020
2020-08-13,2020-08-26,0.4288,166.5,33.15,33.15,2020
2020-05-14,2020-05-27,0.1609,50.09,31.08,31.08,2020
2020-02-13,2020-02-26,0.1072,-0.28,33.76,33.76,2020
2019-11-14,2019-11-27,0.1075,-82.55,37.48,37.48,2019
2019-08-16,2019-08-30,0.6161,131.88,34.71,34.71,2019
2019-05-16,2019-05-31,0.2657,60.84,33.72,33.72,2019
2019-02-14,2019-02-27,0.1652,87.73,33.38,33.38,2019
2018-11-15,2018-11-28,0.088,-85.18,32.13,32.13,2018
2018-08-16,2018-08-30,0.5936,95.07,34.35,34.35,2018
2018-05-17,2018-05-31,0.3043,120.19,34.97,34.97,2018
2018-02-15,2018-02-28,0.1382,70.62,34.83,34.83,2018
2017-11-16,2017-11-30,0.081,-86.21,36.19,36.19,2017
2017-08-10,2017-08-31,0.5872,174.91,34.65,34.65,2017
2017-05-11,2017-05-31,0.2136,60.48,36.46,36.46,2017
2017-02-09,2017-02-28,0.1331,-25.35,33.6,33.6,2017
2016-11-10,2016-11-28,0.1783,-70.12,30.91,30.91,2016
2016-08-11,2016-08-30,0.5968,143.69,30.55,30.55,2016
2016-05-12,2016-05-31,0.2449,131.04,31.36,31.36,2016
2016-02-11,2016-02-29,0.106,40.21,29.74,29.74,2016
2015-11-12,2015-11-27,0.0756,-89.43,35.45,35.45,2015
2015-07-30,2015-08-20,0.7155,440.41,36.36,36.36,2015
2015-04-30,2015-05-21,0.1324,141.17,36.56,36.56,2015
2015-01-29,2015-02-19,0.0549,-22.78,33.87,33.87,2015
2014-10-30,2014-11-20,0.0711,-89.17,31.34,31.34,2014
2014-07-23,2014-08-13,0.6566,667.95,31.41,31.41,2014
2014-04-16,2014-05-07,0.0855,-2.62,32.28,32.28,2014
2014-01-29,2014-02-19,0.0878,28.18,30.34,30.34,2014
2013-10-23,2013-11-13,0.0685,-88.11,30.83,30.83,2013
2013-07-24,2013-08-14,0.5763,542.48,20.7,27.82,2013
2013-04-24,2013-05-15,0.0897,65.19,20.39,27.4,2013
2013-01-23,2013-02-13,0.0543,-57.64,20.25,27.22,2013
2012-10-24,2012-11-14,0.1282,-80.35,18.72,25.16,2012
2012-07-25,2012-08-15,0.6523,401.0,17.42,23.41,2012
2012-04-25,2012-05-16,0.1302,-2.54,17.34,23.3,2012
2012-01-25,2012-02-22,0.1336,55.71,18.1,24.33,2012
2011-10-26,2011-11-23,0.0858,-89.11,17.82,23.95,2011
2011-07-27,2011-08-24,0.7879,1001.96,19.94,26.79,2011
2011-04-27,2011-05-25,0.0715,-50.89,22.54,30.29,2011
2011-01-26,2011-02-23,0.1456,146.36,22.08,29.67,2011
2010-10-27,2010-11-24,0.0591,-7.37,21.22,28.51,2010
2010-07-28,2010-08-25,0.0638,-88.11,20.43,27.46,2010
2010-06-23,2010-07-21,0.5364,777.91,19.23,25.85,2010
2010-04-28,2010-05-26,0.0611,-54.09,21.03,28.26,2010
2010-01-27,2010-02-24,0.1331,118.55,20.71,27.83,2010
2009-10-28,2009-11-25,0.0609,-90.44,20.47,27.51,2009
2009-07-29,2009-08-26,0.6368,793.13,19.64,26.39,2009
2009-04-29,2009-05-27,0.0713,-48.07,14.91,24.06,2009
2009-01-28,2009-02-25,0.1373,42.28,16.48,22.15,2009
2008-10-29,2008-11-26,0.0965,-89.23,19.15,25.74,2008
2008-07-30,2008-08-27,0.8959,945.39,25.01,33.61,2008
2008-04-30,2008-05-28,0.0857,-33.26,28.65,38.5,2008
2008-01-30,2008-02-27,0.1284,52.49,28.35,38.09,2008
2007-10-31,2007-11-28,0.0842,-89.94,26.71,45.01,2007
2007-07-25,2007-08-22,0.8367,960.46,25.68,43.27,2007
2007-04-25,2007-05-23,0.0789,-38.6,26.23,44.2,2007
2007-01-31,2007-02-28,0.1285,-13.76,24.86,41.89,2007
2006-09-27,2006-10-26,0.149,-77.31,23.18,39.06,2006
2006-06-28,2006-07-27,0.6566,1294.06,21.71,36.59,2006
2006-03-29,2006-04-27,0.0471,-33.1,23.04,38.83,2006
2005-12-28,2006-01-26,0.0704,-46.34,21.23,35.78,2005
2005-09-28,2005-10-20,0.1312,-71.45,20.47,34.49,2005
2005-06-29,2005-07-21,0.4595,582.76,19.04,32.09,2005
2005-03-30,2005-04-21,0.0673,45.04,18.17,30.62,2005
2005-01-05,2005-01-27,0.0464,-38.13,17.74,29.89,2005
2004-09-29,2004-10-22,0.075,-82.88,16.31,27.49,2004
2004-07-07,2004-07-23,0.4382,631.55,16.16,27.23,2004
2004-04-07,2004-04-23,0.0599,68.73,16.6,27.97,2004
2004-01-07,2004-01-23,0.0355,-93.04,16.91,28.5,2004
2003-10-01,2003-11-03,0.51,920.0,15.22,25.65,2003
2003-04-02,2003-05-01,0.05,-90.2,14.09,23.75,2003
2002-10-01,2002-11-01,0.51,0.0,14.99,25.25,2002
